Mile_Category_<X,Cuisine,Restaurant_Name,Distance,On_campus,Gworld,Menu,Hours
3,Korean,Kaliwa,2.3,no,no,https://qrcodes.pro/2iO42L?preview=true,sun-thurs: 11:30am-9pm /Ê fri-sat: 11:30am-10pm
3,Korean,Bom,1.2,no,no,https://bom-koreanrestaurant.business.site/,mon; wed-thurs: 5-10pm /Ê tues: closed /Ê fri-sat: 12-11:30pm /Ê sun:12:30-9pm
3,Italian,RPM Italian DC,1.6,no,no,https://www.rpmrestaurants.com/rpm-italian-d-c/menus/,mon-thurs: 12-9pm /Ê fri: 12-10pm /Ê sat: 3-10pm /Ê sun: 3-9pm
3,Italian,Cucina Al Volo,2.9,no,no,http://places.singleplatform.com/cucina-al-volo/menu?ref=google,mon-sun: 11am-8pm
3,Italian,San Lorenzo Ristorante + Bar,1.5,no,no,https://www.sanlorenzodc.com/menu,mon-thurs: 11am-2:30pm; 5:30-9:45pm /Ê fri-sat: 11am-2:30pm; 5-10:30pm /Ê sun: 5-9pm
3,Italian,Mamma Ilardo Pizza,2.1,no,no,https://slicelife.com/restaurants/dc/washington-dc/20024/mamma-ilardo-s-pizza/menu?utm_source=gmb_menu,mon-fri: 6am-4pm /Ê sat-sun: closed
3,Italian,Kouzina Angelina Pizzeria,1.7,no,no,https://www.doordash.com/store/kouzina-angelinas-pizzeria---shaw-dc-washington-901492/,mon-tues: closed /Ê wed-thurs: 7pm-3am /Ê fri-sat: 6pm-4am /Ê sun: 6pm-3am
3,Mexican,Taqueria Habanero,2.4,no,no,http://taqueriahabanero.com/,mon-sun: 11am-10pm
3,Mexican,El Pollo Sabroso,2,no,no,https://www.allmenus.com/dc/washington/379612-el-pollo-sabroso/menu/,sun-thurs: 10am-10pm /Ê fri-sat: 10am-11pm
3,Mexican,El Camino,2.2,no,no,http://www.elcaminodc.com/,mon: 5-10pm /Ê tues-thurs: 5-10:30pm /Ê fri: 5-11:30pm /Ê sat: 12-11:30pm /Ê sun: 12-10pm
3,Mexican,Laredo DC Restaurant,2.1,no,no,http://www.laredodcrestaurant.com/menu.html,sun-thurs: 11am-10:30pm /Ê fri-sat: 11am-12am
3,Mexican,Mayahuel Cocina Mexicana,2.7,no,no,https://www.toasttab.com/mayahuel-cocina-mexicana/v3/?mode=fulfillment,mon: closed /Ê tues-thurs: 4-9pm /Ê fri: 4-10pm /Ê sat: 12-10pm /Ê sun: 12-8pm
3,Thai,Sala Thai Rhode Island Row,3.2,no,no,http://www.salathairisland.com/,mon-thurs: 11:30am-9pm /Ê fri: 11:30am-9:30pm /Ê sat: 12-9:30pm /Ê sun: 12am-9pm
3,Thai,Imm Thai on H,3,no,no,https://www.toasttab.com/imm-on-h/v2/online-order#!/order,mon-sun: 11am-8pm
3,Thai,Sabydee,1.9,no,no,http://places.singleplatform.com/sabydee-restaurant/menu?ref=google,mon: closed /Ê tues-sun: 11am-3:30pm; 5-10pm
3,Thai,Talay Thai,2.9,no,no,https://www.talaythaidconline.com/,mon-fri: 11:30am-3pm; 4:30-9:30pm /Ê sat: 12-9:30pm /Ê sun: closed
3,Thai,Thai X-ing,1.7,no,no,http://www.thaix-ing.com/menu/,mon: closed /Ê tues-sun: 5-8:30pm
3,Indian,Spice Kraft Indian Bistro,2.7,no,no,https://www.spicekraftva.com/menu-clarendon,sun-thurs: 11:30am-2:30pm; 5-9pm /Ê fri-sat: 11:30am-2:30pm; 5-9:30pm
3,Indian,Jyothi Indian Cuisine,1.2,no,no,http://www.jyotidc.com/,mon: closed /Ê tues-thurs; sun: 12-10pm /Ê fri-sat: 12-11pm
3,Indian,Masala Art Indian Restaurant,2.6,no,no,https://www.masalaartdc.com/tenleytown-menu/,mon-sat: 5-9:30pm /Ê sun: 11:30am-2:30pm; 5-9:30pm
3,Indian,Indigo,2.7,no,no,http://www.indigowdc.com/menu-1,mon-fri: 11am-9pm /Ê sat: 3-10pm /Ê sun: closed
3,Indian,Indique,2.1,no,no,https://order.online/store/Indique-4057/en-US/?hideModal=true&pickup=true,sun-thurs: 5-9pm /Ê fri-sat: 5-9:30pm
3,Mediterranean,Shawarma Hut,2.6,no,no,http://places.singleplatform.com/shawarma-hut-0/menu?ref=google,sun-thurs: 12-11pm /Ê fri-sat: 12pm-12am
3,Mediterranean,Athena Grill,3,no,no,http://www.athenagrilldc.com/?utm_source=gmb&utm_medium=menu,mon-sun: 11am-11pm
3,Mediterranean,Shemalis,2.6,no,no,https://www.shemalisinc.com/,mon: 10pm-12am /Ê tues: 12am-7pm /Ê wed; fri-sat: 10am-7pm /Ê thurs: 10am-2pm /Ê sun: 10am-6pm
3,Mediterranean,CafŽ Fili,2.6,no,no,https://www.toasttab.com/cafe-fili-dc,sun-thurs: 11am-9pm /Ê fri-sat: 11am-10pm
3,Mediterranean,Fresh Med,2,no,no,https://www.freshmed-dc.com/menu.shtml,mon-sat: 11am-10pm /Ê sun: 11am-9pm
